FIPS,Year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
22117,GovAid,3558000,3923000,3944000,4162000,4355000,5119000,4874000,4858000,4795000,5101000,5645000,5425000,5713000,5710000
22119,GovAid,3441000,3747000,3747000,3915000,4068000,4740000,4495000,4356000,4230000,4461000,4954000,4762000,5023000,4994000
22121,GovAid,1773000,1961000,1971000,2075000,2181000,2525000,2470000,2455000,2396000,2545000,2901000,2803000,2987000,3095000
22123,GovAid,971000,1054000,1063000,1123000,1156000,1346000,1264000,1216000,1182000,1249000,1381000,1319000,1401000,1370000
22125,GovAid,844000,927000,930000,989000,1021000,1206000,1172000,1129000,1106000,1155000,1281000,1215000,1287000,1289000
22127,GovAid,1270000,1369000,1359000,1410000,1438000,1657000,1566000,1498000,1444000,1523000,1679000,1593000,1689000,1670000
28001,GovAid,2851000,3082000,3047000,3164000,3195000,3686000,3524000,3365000,3225000,3355000,3711000,3547000,3768000,3740000
28003,GovAid,2881000,3176000,3195000,3370000,3537000,4149000,3981000,3910000,3827000,4055000,4546000,4353000,4615000,4579000
28005,GovAid,1144000,1243000,1236000,1301000,1340000,1568000,1503000,1439000,1391000,1454000,1613000,1549000,1622000,1646000
28007,GovAid,1627000,1783000,1780000,1863000,1921000,2231000,2127000,2074000,2030000,2146000,2373000,2267000,2381000,2391000
28009,GovAid,671000,733000,734000,779000,817000,970000,937000,923000,915000,959000,1068000,1027000,1085000,1049000
28011,GovAid,3229000,3477000,3411000,3517000,3563000,4053000,3810000,3659000,3506000,3659000,4034000,3845000,4093000,4156000
28013,GovAid,1252000,1369000,1362000,1431000,1481000,1719000,1642000,1596000,1546000,1639000,1828000,1748000,1851000,1811000
28015,GovAid,884000,968000,954000,998000,1034000,1196000,1133000,1110000,1086000,1144000,1272000,1202000,1268000,1278000
28017,GovAid,1621000,1768000,1741000,1813000,1867000,2143000,1993000,1913000,1836000,1919000,2137000,2028000,2152000,2162000
28019,GovAid,797000,859000,856000,892000,906000,1045000,976000,925000,902000,941000,1048000,991000,1051000,1070000
28021,GovAid,845000,913000,905000,925000,962000,1102000,1030000,978000,946000,990000,1075000,1037000,1045000,1044000
28023,GovAid,1488000,1615000,1603000,1668000,1724000,1983000,1884000,1816000,1758000,1850000,2068000,1981000,2087000,2098000
28025,GovAid,1823000,1985000,1991000,2057000,2144000,2464000,2319000,2239000,2165000,2280000,2509000,2402000,2542000,2536000
28027,GovAid,2515000,2728000,2679000,2758000,2812000,3213000,2995000,2849000,2724000,2848000,3153000,2998000,3158000,3116000
28029,GovAid,2327000,2563000,2554000,2716000,2834000,3301000,3168000,3080000,3002000,3168000,3522000,3363000,3547000,3576000
28031,GovAid,1618000,1768000,1780000,1891000,1961000,2270000,2153000,2085000,2038000,2147000,2397000,2290000,2431000,2417000
28033,GovAid,9144000,10456000,10937000,12064000,13184000,16074000,16128000,16249000,16385000,17714000,19976000,19445000,20986000,21340000
28035,GovAid,5638000,6178000,6175000,6534000,6808000,7983000,7716000,7557000,7414000,7920000,8852000,8583000,9215000,9447000
28037,GovAid,704000,760000,746000,787000,822000,944000,897000,876000,850000,895000,997000,942000,993000,997000
28039,GovAid,1595000,1770000,1786000,1909000,1996000,2370000,2311000,2283000,2272000,2417000,2737000,2654000,2823000,2889000
28041,GovAid,936000,1028000,1021000,1071000,1095000,1282000,1223000,1204000,1186000,1264000,1407000,1343000,1421000,1424000
28043,GovAid,1915000,2080000,2063000,2144000,2211000,2572000,2460000,2384000,2308000,2422000,2675000,2541000,2705000,2758000
28045,GovAid,3624000,4051000,4134000,4417000,4680000,5568000,4417000,4458000,4448000,4780000,5395000,5256000,5657000,5674000
